main_street;id_arco;sense;from_intersection;to_intersection;Interseccion;day_name;hora;Nivel
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;21:00;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;21:15;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;21:30;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;21:45;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;6:30;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;6:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;7:00;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;7:15;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;7:30;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;7:45;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;8:00;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;8:15;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;8:30;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;8:45;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;9:00;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;9:15;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;9:30;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;9:45;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;10:00;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;10:15;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;10:30;2
